epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2407,2.83102,6.19479,4.38963,0.00018,0.06084,0.00014,4e-05,2.8907,4.33832,4.15938,5.712e-05,5.712e-05,5.712e-05
2,47.3078,2.73897,6.06818,4.33158,0.00017,0.06084,0.00016,4e-05,2.89035,4.33696,4.16003,0.00012114,0.00012114,0.00012114
3,56.0462,2.74254,5.86044,4.17033,0.00019,0.069,0.00016,5e-05,2.89059,4.3399,4.16201,0.000184905,0.000184905,0.000184905
4,64.506,2.65978,5.77553,4.03035,0.00016,0.05637,0.00011,3e-05,2.88984,4.34153,4.16479,0.000248416,0.000248416,0.000248416
5,73.417,2.58116,5.60895,3.76832,0.00014,0.06184,0.00011,4e-05,2.89236,4.35401,4.18174,0.000311672,0.000311672,0.000311672
6,82.399,2.36643,5.19211,3.47656,0.00014,0.06222,0.0002,6e-05,2.89892,4.37074,4.20538,0.000374674,0.000374674,0.000374674
7,91.0652,2.18333,4.69245,3.19944,0.00036,0.06589,0.00033,7e-05,2.89463,4.47585,4.19024,0.000437421,0.000437421,0.000437421
8,99.977,2.0112,4.29185,2.92397,0.0003,0.07321,0.00029,7e-05,2.87611,4.48894,4.11987,0.000499914,0.000499914,0.000499914
9,109.012,1.93558,4.11266,2.70081,0.00031,0.0914,0.00243,0.00064,2.84119,4.34791,3.86004,0.000562152,0.000562152,0.000562152
10,118.082,1.91647,3.68365,2.62442,0.0004,0.12204,0.06228,0.02014,2.78346,4.26264,3.56058,0.000624136,0.000624136,0.000624136
11,127.185,1.77322,3.43551,2.4277,0.89352,0.08391,0.08428,0.02761,2.66838,4.03077,3.21977,0.000685866,0.000685866,0.000685866
12,136.475,1.71992,3.14371,2.40223,0.74694,0.08287,0.27359,0.10852,2.43267,3.94251,2.92909,0.000698449,0.000698449,0.000698449
13,145.533,1.58992,2.79115,2.24819,0.56101,0.26953,0.27615,0.09909,2.44635,3.52538,2.91799,0.000697035,0.000697035,0.000697035
14,154.701,1.50381,2.53214,2.16414,0.54625,0.18802,0.25042,0.08177,2.37112,3.20274,2.78485,0.000695622,0.000695622,0.000695622
15,163.691,1.5044,2.2785,2.15026,0.00476,0.77721,0.09408,0.03634,2.10657,3.74249,2.79355,0.000694208,0.000694208,0.000694208
16,172.625,1.47585,2.10237,2.11014,0.79453,0.14742,0.31279,0.10108,2.3027,3.53668,2.81494,0.000692794,0.000692794,0.000692794
17,181.313,1.46724,1.90878,2.07188,0.66004,0.14619,0.33904,0.14505,2.03002,3.3991,2.66002,0.00069138,0.00069138,0.00069138
18,190.394,1.42058,1.78061,2.00205,0.78233,0.18253,0.38001,0.12719,2.17252,3.50221,2.71923,0.000689967,0.000689967,0.000689967
19,199.25,1.37761,1.6159,1.97142,0.82819,0.12566,0.19919,0.08631,2.45601,4.01842,3.17592,0.000688553,0.000688553,0.000688553
20,208.059,1.35953,1.5661,1.922,0.96061,0.24839,0.56286,0.19264,2.36888,3.56823,2.76518,0.000687139,0.000687139,0.000687139
21,216.884,1.35929,1.49677,1.94291,0.93943,0.78809,0.94281,0.51736,1.64546,1.5703,2.0979,0.000685726,0.000685726,0.000685726
22,225.545,1.26765,1.42512,1.84522,0.89303,0.9165,0.96329,0.47915,1.73647,1.10176,2.1097,0.000684312,0.000684312,0.000684312
23,234.369,1.34439,1.3927,1.86532,0.97192,0.94238,0.98855,0.5546,1.55156,0.91646,1.96536,0.000682898,0.000682898,0.000682898
24,243.365,1.31097,1.34466,1.93339,0.90696,0.86482,0.95011,0.50773,1.61591,1.22986,1.99945,0.000681484,0.000681484,0.000681484
25,252.243,1.29239,1.23783,1.80825,0.9415,0.91594,0.97222,0.55971,1.49196,1.01147,1.88649,0.000680071,0.000680071,0.000680071
