epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6433,2.80156,6.14657,4.34514,0.00017,0.06084,0.00016,4e-05,2.98819,4.34221,4.16016,0.00011424,0.00011424,0.00011424
2,53.0289,2.68539,5.82739,4.17132,0.00016,0.05637,0.00018,6e-05,2.98815,4.34488,4.16029,0.000234842,0.000234842,0.000234842
3,63.2653,2.59659,5.56493,3.81392,0.0004,0.07443,0.00027,7e-05,2.99138,4.36362,4.19374,0.000354644,0.000354644,0.000354644
4,73.3971,2.4151,5.03601,3.37007,0.0003,0.07363,0.00026,7e-05,2.98852,4.50177,4.21328,0.000473644,0.000473644,0.000473644
5,83.4853,2.17692,4.28109,2.95381,0.00051,0.09834,0.02018,0.00511,2.91171,4.33336,3.66196,0.000591843,0.000591843,0.000591843
6,93.6839,1.96533,3.62783,2.75225,0.00298,0.39273,0.08707,0.02421,2.81172,4.59395,3.44725,0.000702219,0.000702219,0.000702219
7,103.728,1.75996,3.03041,2.53661,0.00091,0.26498,0.00559,0.00133,2.7758,4.35214,3.61029,0.000699863,0.000699863,0.000699863
8,113.738,1.65419,2.56183,2.41248,0.00304,0.54327,0.08886,0.03185,2.31113,4.03141,3.13451,0.000697507,0.000697507,0.000697507
9,123.838,1.59949,2.2677,2.32418,0.72022,0.17102,0.47659,0.18256,2.16839,3.09355,2.70094,0.00069515,0.00069515,0.00069515
10,133.838,1.53883,1.98549,2.23017,0.75147,0.1226,0.29497,0.08767,2.34699,3.84711,3.0426,0.000692794,0.000692794,0.000692794
11,143.873,1.54063,1.78755,2.22034,0.8681,0.48465,0.80269,0.34911,1.99962,2.31791,2.47379,0.000690438,0.000690438,0.000690438
12,153.921,1.43516,1.61445,2.08527,0.85984,0.81204,0.905,0.51015,1.58984,1.2938,2.14107,0.000688082,0.000688082,0.000688082
13,164.165,1.39837,1.46396,2.06573,0.95981,0.85723,0.93286,0.55204,1.51852,1.08995,2.07145,0.000685726,0.000685726,0.000685726
14,174.396,1.3344,1.3536,1.96799,0.84131,0.86673,0.94207,0.50636,1.67206,1.16052,2.12381,0.000683369,0.000683369,0.000683369
15,184.756,1.34607,1.25583,1.97315,0.91336,0.92735,0.9688,0.58084,1.46205,0.98886,1.98084,0.000681013,0.000681013,0.000681013
16,195.207,1.33499,1.21246,1.97368,0.92704,0.90925,0.9684,0.41243,1.97682,1.17842,2.36771,0.000678657,0.000678657,0.000678657
17,205.204,1.29246,1.15521,1.90471,0.95376,0.97999,0.99103,0.57458,1.52937,0.91682,1.95612,0.000676301,0.000676301,0.000676301
18,215.791,1.21546,1.08441,1.8249,0.88905,0.92892,0.9653,0.59334,1.39784,0.95665,1.87696,0.000673945,0.000673945,0.000673945
19,226.005,1.24474,0.99877,1.82678,0.94863,0.94136,0.98029,0.42185,1.96245,1.05063,2.368,0.000671588,0.000671588,0.000671588
20,236.19,1.17569,0.97619,1.76019,0.91879,0.8626,0.95793,0.59405,1.38048,0.97411,1.86512,0.000669232,0.000669232,0.000669232
21,246.378,1.21228,0.95935,1.7986,0.94947,0.95668,0.98145,0.52252,1.62488,0.89599,2.08867,0.000666876,0.000666876,0.000666876
22,256.656,1.19103,0.88519,1.73794,0.95768,0.92053,0.9755,0.66923,1.22385,0.85358,1.70414,0.00066452,0.00066452,0.00066452
23,267.196,1.13693,0.89158,1.68942,0.96692,0.94448,0.97915,0.6177,1.37598,0.82572,1.80158,0.000662164,0.000662164,0.000662164
24,277.64,1.13117,0.83407,1.70384,0.98321,0.97908,0.9935,0.54862,1.59485,0.77994,1.97616,0.000659807,0.000659807,0.000659807
25,288.111,1.12117,0.81129,1.67876,0.96605,0.98024,0.9925,0.6378,1.31399,0.81037,1.74929,0.000657451,0.000657451,0.000657451
