epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4059,2.80301,6.03083,4.30172,0.00017,0.07716,0.00013,4e-05,2.99031,4.34112,4.15853,0.00011424,0.00011424,0.00011424
2,49.7641,2.68005,5.79858,4.11334,0.00027,0.08407,0.0002,6e-05,2.99392,4.34072,4.16552,0.000234842,0.000234842,0.000234842
3,59.7344,2.55022,5.60257,3.76395,0.0002,0.06331,0.0002,5e-05,2.99698,4.3621,4.20959,0.000354644,0.000354644,0.000354644
4,69.7095,2.38509,5.06837,3.30519,0.00022,0.05235,0.00206,0.00024,2.98747,4.402,4.25157,0.000473644,0.000473644,0.000473644
5,79.7103,2.15474,4.37462,2.95125,0.00031,0.07308,0.00077,0.00012,2.9708,4.44617,4.25544,0.000591843,0.000591843,0.000591843
6,89.5914,1.9685,3.74339,2.69056,0.00061,0.0849,0.00077,0.00015,2.95189,4.45853,3.85964,0.000702219,0.000702219,0.000702219
7,99.6445,1.7766,3.13516,2.46818,0.01699,0.61453,0.25749,0.07289,2.58369,3.80582,3.12468,0.000699863,0.000699863,0.000699863
8,109.686,1.66385,2.56842,2.31827,0.77626,0.06196,0.31365,0.13482,2.23436,3.49016,2.84752,0.000697507,0.000697507,0.000697507
9,119.632,1.65486,2.26463,2.32547,0.62487,0.05904,0.27098,0.1043,2.23378,3.58398,2.81953,0.00069515,0.00069515,0.00069515
10,129.605,1.54935,1.9169,2.18686,0.72249,0.16049,0.44508,0.14029,2.37282,3.30306,2.79502,0.000692794,0.000692794,0.000692794
11,139.612,1.49157,1.70471,2.12361,0.869,0.70478,0.88614,0.42887,1.9,1.68472,2.28305,0.000690438,0.000690438,0.000690438
12,149.593,1.40414,1.47921,2.01188,0.85975,0.87875,0.96394,0.54874,1.57579,1.1902,2.09047,0.000688082,0.000688082,0.000688082
13,159.35,1.3384,1.36209,1.95265,0.88653,0.96375,0.97722,0.56679,1.59057,0.9537,2.03118,0.000685726,0.000685726,0.000685726
14,169.339,1.33174,1.24578,1.93128,0.912,0.91732,0.97439,0.56144,1.5961,1.05491,1.99851,0.000683369,0.000683369,0.000683369
15,179.526,1.34868,1.20119,1.93948,0.91335,0.93616,0.97231,0.54978,1.54595,0.93784,2.01093,0.000681013,0.000681013,0.000681013
16,189.321,1.26055,1.08573,1.85575,0.9064,0.93296,0.97097,0.49455,1.73874,1.06945,2.09661,0.000678657,0.000678657,0.000678657
17,199.219,1.27023,1.04922,1.83928,0.96714,0.97934,0.98884,0.50255,1.74787,0.90948,2.11669,0.000676301,0.000676301,0.000676301
18,209.303,1.2089,0.98576,1.78269,0.93352,0.96475,0.98693,0.6271,1.34867,0.88472,1.81514,0.000673945,0.000673945,0.000673945
19,219.343,1.24206,0.97424,1.79896,0.95297,0.94067,0.98732,0.44875,1.85561,0.98738,2.23401,0.000671588,0.000671588,0.000671588
